Dies ist synthetischer Datensatz für Unterrichtszwecke. Er ist Teil einer Open Educational Resource (OER) und enthält aus rechtlichen Gründen keine personenbezogenen Daten. Weitere Informationen und den Zugang zur OER finden sie auf folgender Website: https://quadriga-dk.github.io/Bewegtes-Bild-Fallstudie-2/
Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Column_8	Verlag	Jahr	Originalmedium	Länge	Schlagwort	Stichwort	Bib._Nummer
Eine Brücke nach Potsdam	Janosch Büchner	Regie	Diplomfilm	Potsdam			1988	16mm	37m			DE-Po75
Ich schrieb meinen Namen auf ein Klebeband	Nancy-Jutta Henke			Potsdam			1991	16mm	125m	Spielfilm		DE-Po75
Materialprüfung angesetzt	Clemens Eggert	Kamera		Potsdam		Kollektiv Bild und Ton Potsdam ; Atelier fuer Dokumentarfilm BABELSBERG	1990	16mm	103.8m	Dokumentarfilm		DE-Po75
<<Ein>> Funke im Nichts		Kamera		Potsdam			1989	16mm				DE-Po75
<<Ein>> Funke im Abgrund		Kameraübung		Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1988	16mm	60m	Dokumentarfilm ; Adaption		DE-Po75
Die Melancholie der leeren U-Bahn-Schächte	Karin-Sabine Opitz	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam"	1998	Betacam SP		Spielfilm ; Adaption ; Komödie		DE-Po75
Anklang in der Dunkelheit – Berlin		Regie		Potsdam			1988	16mm				DE-Po75
Die Metaphysik der leeren Schulkantinen	Katrin Karge	Regie	F1	Potsdam		Kollektiv Bild und Ton Potsdam ; Atelier für Dokumentarfilm Babelsberg	1985	16mm	70m			DE-Po75
Ein fremder Schatten	Erika Ihlenfeld	Regie		Potsdam			1999			Spielfilm ; Erotik ; Pixilation		DE-Po75
Rückmeldung erwartet	Noura Khalaf			Potsdam			1993	Betacam SP		Dokumentarfilm		DE-Po75
Heftklammern ausgegangen	Ortrud Ebel	Regie		Potsdam			1995	Betacam SP			nonverbal	DE-Po75
Tafel nicht abgewischt	Rosemarie Raddatz			Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1996/97	35mm	28m	Spielfilm		DE-Po75
Die fremden Wege		Regie		Potsdam			[1993]	16mm	234m			DE-Po75
Niemand wollte zum Appell	Tran Van Khanh	Kamera		Potsdam		Filmgruppe "Berlin-Mitte" ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1994	16mm	40m	Dokumentarfilm ; Liebe		DE-Po75
Der Weg durch dich hindurch	Anna Sokolova	Regie		Wolfsburg		lichtbild Arbeits gemeinschaft Griebnitzsee ; Atelier fuer Dokumentarfilm BABELSBERG	1987	16mm		Animationsfilm ; Dokumentarfilm		DE-Po75
Plan erfüllt, aber keiner klatscht	Tariq Salem	Kamera		Potsdam			1987	35mm				DE-Po75
Zwischen Wolken und Beton – Berlin		Regie	Diplomfilm	Potsdam			1996	35mm	164m			DE-Po75
Die Stille der dritten Schicht	Lars Nürnberg	Kamera		Potsdam		Atelier für Dokumentarfilm Babelsberg	1996	16mm	132m	Dokumentarfilm ; Lehrfilm		DE-Po75
Weite	Fatima Ali	Regie		Potsdam			1989	U-matic				DE-Po75
Die Fläche blieb vage	Klaus-Lothar Kallenbach	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1989	VHS		Dokumentation		DE-Po75
Briefmarken für die Ewigkeit				Potsdam		Atelier für Dokumentarfilm Babelsberg ; Atelier fuer Dokumentarfilm BABELSBERG	1990	Betacam SP			Interviews ; Simbabwe ; politische Aufarbeitung ; Potsdam	DE-Po75
Planfolge nicht einhalten	Kirsten Zabel		F3	Potsdam		Filmstudio Babelsberg Ost	1985	16mm	48m	Dokumentarfilm		DE-Po75
Ein Wunsch auf Zeit	Ortrun Nolte		Diplomfilm	Potsdam			1998	Betacam SP		Spielfilm		DE-Po75
Letzter Eintrag: 5.10.89	Ottilie-Renate Pöschel	Regie		Potsdam			1998	Betacam SP				DE-Po75
Die Stimme in deinem Rücken	Inge-Maria Jänicke	Buch		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1987/88	35mm	680m	Porträtfilm		DE-Po75
Wenn der Regen nicht aufhört	Xenia Schade			Potsdam			1996	16mm	134m	Dokumentarfilm	nonverbal . Anti AIDS Spot . ohne Worte	DE-Po75
Grenzweg ohne Schild	Olga Jürgens	Kamera	Kameraübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1988	35mm	82m			DE-Po75
Wenn der Fluss der Zeit leise fließt	Steffen Scholl	Regie		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1995	16mm	551m	Animationsfilm ; Bühneninszenierung ; Bildende Kunst ; Biografie und Werk ; Politischer Film ; Kamera		DE-Po75
Kaffeekränzchen mit Geistern der Vergangenheit	Anneliese Mayer			Potsdam			1996/97	35mm	42m			DE-Po75
Störung auf Linie 4	Pham Linh	Regie		Potsdam			1987	16mm	360m			DE-Po75
Zwischen den Jahren – 1988	Benjamin Christ	Regie		Potsdam			1985	16mm	261m			DE-Po75
Balance		Kamera	F1	Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1992	16mm	62m			DE-Po75
Der Punkt, an dem ich dachte	Alexei Kuznetsov			Potsdam		Film gruppe Berlin-Mitte	1994	Betacam SP				DE-Po75
Dort, wo die Seele tanzt	Marika Oertel	Regie	Diplomfilm	Potsdam		Film gruppe Berlin-Mitte ; Audiovisuelle Werkstatt Frankfurt Oder	1987			Dokumentarfilm ; Arbeit		DE-Po75
Zwischen gestern und nie		Regie		Potsdam		Filmgruppe Berlin-Mitte ; Kollektiv Bild &Ton "Potsdam"	1998	Betacam SP				DE-Po75
<<Die>> Prämie blieb aus	Friedrich Risse	Regie		Berlin			1998	16mm	69m			DE-Po75
<<Die>> verlorene Geige von Prag	Amir Ziad	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1995	16mm		Animationsfilm		DE-Po75
<<Die>> Farben der Schritte	Uschi Bongartz	Gestaltung		Potsdam			1989	16mm	30m		Reportageübung	DE-Po75
Mein erster Tag in Weimar – 1985	Lars Kaufmann	Regie		Potsdam			1993	35mm	81m	Dokumentarfilm ; Kriminalität		DE-Po75
<<Die>> Chronik der gebrochenen Träume	Hartmut Illner	Regie	Diplomfilm	Potsdam		Filmstudio Babelsberg Ost ; Kollektiv Bild & Ton Potsdam	1996	VHS				DE-Po75
Die Pause war zu lang	Ingeburg Lütke		Lichtübung	Potsdam			1992/93	16mm				DE-Po75
An der Schwelle zum Nichts		Kamera		Potsdam			1993	VHS				DE-Po75
Tisch steht schräg zur Zeit	Markus Meißner	Kamera	Hauptprüfungsfilm	Potsdam			1991	16mm				DE-Po75
Als niemand aufstand	Rita Vollrath	Regie		Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1992					DE-Po75
Der Klang der alten U-Bahn – Karl‑Marx‑Stadt	Katarzyna Kaczmarek	Buch	F2	Potsdam			1995	35mm	246m	Spielfilm	nonverbal . ohne Worte . ohne Sprache . ohne Dialog	DE-Po75
<<Das>> Paket kam nie an	Gisela Bauer	Kameraübung		Potsdam			1987	16mm		Dokumentarfilm		DE-Po75
Abendrot hinter der Plattenwand	Tim-Walter Groß			Potsdam		Film gruppe Berlin-Mitte ; "AudioVisuelle Werkstatt" Frankfurt/Oder	1994	Digital Betacam		Dokumentarfilm		DE-Po75
Schnee auf dem Appellplatz	Gert Geisel	Regie		Potsdam			1997	16mm	220m	Animationsfilm ; Homosexualität ; Deutschland <vor 1945> ; Zweiter Weltkrieg		DE-Po75
Am Fuß der Treppe		Regie	TV-Übung	Potsdam			1992	Betacam SP				DE-Po75
Die Mahnwache bei Minus zehn	Pham Linh	Regie		Potsdam			1986	16mm	865m			DE-Po75
<<Ein>> Tag im November	Klaus-Lothar Kallenbach			Potsdam		Film gruppe Berlin-Mitte ; Produktionskollektiv Brandenburg/Havel	1990	U-matic				DE-Po75
Wenn Luft schwerer wird	Björn-Karl Urban		Filmübung	Potsdam			1995	16mm	76m	Dokumentarfilm ; Kamera		DE-Po75
Mein Blick fiel auf den Rand	Tran Duc Huy	Regie	Filmübung	Potsdam		Filmgruppe Berlin-Mitte ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	1998	Digital Betacam		Dokumentarfilm		DE-Po75
Die Kälte der Kontrolle	Xenia Quade	Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1986	16mm	416m	Deutscher Fernsehfunk		DE-Po75
Lautstärke angepasst	Frank Giesa			Potsdam		Filmgruppe Berlin-Mitte ; "AudioVisuelle Werkstatt" Frankfurt/Oder	[1995]	35mm	17m	Spielfilm		DE-Po75
...und der Wind erzählt	Marlies Nitzsche	Regie	Zeitbeschreibung	Potsdam			1999	35mm	382m			DE-Po75
Sekretariat geschlossen – aus Gründen	Friedlinde Unverzagt	Regie		Potsdam			1990	U-matic		Dokumentarfilm		DE-Po75
Blatt	Hannah Wagner			Potsdam			1993	16mm	439m	Animationsfilm ; Musik		DE-Po75
Als ich nicht mehr fragte	Xenia Quade	Regie		Potsdam			1986	16mm	161m		DRA	DE-Po75
Vorrat aufgebraucht	Heike Bergmann	Regie	Montageübung	Potsdam		Atelier für Dokumentarfilm Babelsberg	1996	16mm	297m	Animationsfilm		DE-Po75
Ein Flüstern im Wind – 2005 (Dresden)	Elvira Grabow	Regie		Potsdam			1985	16mm	321m	Spielfilm	Skulpturen . Kampfsport . Montage	DE-Po75
Eine Geste zu viel	Christian Eberspächer	Regie		Potsdam			1988/89	16mm		Videoclip		DE-Po75
Tellerstand unklar	Yasmin Mai	Regie	F2	Potsdam			1995	35mm	41m	Kamera		DE-Po75
Eingang Ost	Tina Scholl	Regie	Montageübung	Potsdam			1996	35mm	403m			DE-Po75
Schachspiel mit der Zeit	Wilfried Illner	Kameraübung		Potsdam			1988	16mm	134m	Videoclip ; Arbeit		DE-Po75
Taktzeit verlängert	Volker Scheel		TV-Übung	Potsdam			1990	35mm	150m	Dokumentation		DE-Po75
Als wir alle das Gleiche trugen	Eva Nagy	Regie	Kameraübung	Potsdam			1986	16mm	25m		DDR Arbeitsalltag	DE-Po75
Frühschicht ohne Licht		Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1997	35mm	128m	Animationsfilm		DE-Po75
Silberne Stille	Heidemarie Kettner	Kamera	Diplomfilm	Potsdam		Filmgruppe Berlin-Mitte ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1985	16mm	120m	Dokumentarfilm		DE-Po75
<<Ein>> Flüstern im Wind		Regie	Lichtübung	Potsdam			1991	U-matic			Grenze	DE-Po75
Der Wind trägt ein leises Geheimnis	Olga Grosse	Moderation		Potsdam		Film gruppe Berlin-Mitte	1994	Betacam SP				DE-Po75
Maschine bleibt stehen		Moderation		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1994	Betacam SP				DE-Po75
Vor dem Fall	Yusef Khalid	Kamera		Potsdam		Atelier für Dokumentarfilm Babelsberg ; Produktionskollektiv Brandenburg/Havel	1996	16mm	24m	Dokumentarfilm	Altersheim	DE-Po75
Ein stilles Versprechen im Wind	Almut Bauer	Regie		Potsdam		Kollektiv Bild und Ton Potsdam ; Kollektiv Bild & Ton Potsdam	1992	S-VHS		Spielfilm ; Adaption	Trommelmusik . Bühnenstück . Krebsvorsorge	DE-Po75
<<Die>> Hoffnung stand am Straßenrand				Potsdam		Kollektiv Bild &Ton "Potsdam" ; Kollektiv Bild & Ton Potsdam	1989	16mm	47m	Spielfilm		DE-Po75
Und ich blieb	Kirsten Hüfner		Lichtübung	Potsdam			1992	S-VHS				DE-Po75
Tür schließt nicht vollständig	Stefan Popov	Animation		Potsdam			1993	S-VHS		Spielfilm ; Familie		DE-Po75
Gedanken aus Stahl	Margarete Evers	Kamera		Potsdam			1991	Betacam SP				DE-Po75
Wenn die Welt sich leise dreht	Albrecht Becker	Regie	F3	Potsdam			1997	Betacam SP		Dokumentarfilm		DE-Po75
<<Das>> Auge des Sturms	Xenia Quade	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1985	16mm	90m	Dokumentarfilm ; Porträtfilm	Eisenbahn ; Handwerk	DE-Po75
Fahrradklingeln im Nirgendwo		Kamera		Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1992	16mm	38m	Spielfilm		DE-Po75
Das Echo der Erinnerung – Erfurt	Lý Thị Mai	Regie	Diplomfilm	Potsdam			1995	Betacam SP				DE-Po75
Wenn das Schweigen Geschichten erzählt	Le Van Khoa			Potsdam		Atelier für Dokumentar-Film Babelsberg	1994					DE-Po75
Mein Helm war nicht mein Helm	Lutz Böttcher	Regie		Potsdam		Kollektiv Bild & Ton Potsdam	1999	35mm	219m	Trailer		DE-Po75
Das Brot war noch warm	Eckhard Ewert	Regie	F1	Potsdam			1999	Betacam SP		Dokumentarfilm		DE-Po75
Mein Bruder war nie dabei		Moderation		Potsdam		Film gruppe Berlin-Mitte	1994-96	35mm	1030m			DE-Po75
Wo Bücher im Keller lagen		Kameraübung	Lichtübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1988	16mm				DE-Po75
Blickwinkel	Anastasia Romanova	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Filmgruppe Berlin-Mitte	1989	16mm	772m	Dokumentarfilm ; Porträtfilm		DE-Po75
Mein letzter Eintrag im Klassenbuch	Huang Wei	Regie		Potsdam		Kollektiv Bild & Ton Potsdam	1999	35mm	204m	Animationsfilm ; Satire ; Porträtfilm		DE-Po75
Fleck genehmigt	York Töpfer	Regie		Potsdam			1993-1995	35mm	150m	Spielfilm		DE-Po75
Der Klang der leeren Fabriken	Hannah Mayer	Regie	Regieübung	Potsdam		Filmgruppe Berlin-Mitte ; Kollektiv Bild &Ton "Potsdam"	1985	16mm	365m			DE-Po75
<<Der>> Geruch alter Bücher	Finn Hoffmann	Regie		Potsdam			1999	35mm	199m			DE-Po75
Vom Puls der Großstadt berührt – Halle	Paul Finke	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1993	16mm	126m	Adaption ; Adaption		DE-Po75
<<Ein>> Hauch von Gestern		Regie	Diplomfilm	Potsdam		Kollektiv Bild und Ton Potsdam ; Kollektiv Bild & Ton Potsdam	1998	35mm	610m	Dokumentarfilm ; Adaption		DE-Po75
Silbernes Haar, rostige Schienen	Heidemarie Karge	Regie		Potsdam			1987			Dokumentarfilm		DE-Po75
<<Die>> Werkbank klemmte		Kamera	Lichtübung			Produktionskollektiv Brandenburg/Havel	1991	U-matic				DE-Po75
Gebrochene Flügel	Lý Thị Mai	Regie	Diplomfilm	Potsdam		Produktionskollektiv Brandenburg/Havel	1998	16mm	376m		ohne Worte . ohne Worte . Kriegsflüchtlinge . Flüchtlinge	DE-Po75
Wenn der Wind das Gestern umarmt	Pham Duc Thanh	Regie		Potsdam			1991	VHS		Dokumentarfilm ; Wende		DE-Po75
Ferne Stimmen	Yvonne-Zoe Weitz	Regie		Potsdam		Film gruppe Berlin-Mitte ; Filmgruppe Berlin-Mitte	1995	35mm	480m	Dokumentation		DE-Po75
Der Tag, an dem alles kippte		Regie		Potsdam			1994	16mm		Spielfilm ; Wende		DE-Po75
Niemand schrieb den Abspann	Günther Hempel	Regie	Lichtübung	Potsdam		Filmgruppe Berlin-Mitte ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1999	Betacam SP		Spielfilm ; Zeichentrickfilm		DE-Po75
Kein Kommentar zum 7. Oktober	Oskar Xander			Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1987	16mm	20m			DE-Po75
Ich sprach, bevor es nötig war				Potsdam			1989	16mm				DE-Po75
Die Bühne hatte Risse		Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Kollektiv Bild & Ton Potsdam	1990	16mm	300m	Spielfilm		DE-Po75
Spaltung	Heidemarie Karge	Regie		Potsdam			1986	16mm	310m			DE-Po75
Heizung ging ab 10 Uhr		Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1990	35mm	730m			DE-Po75
Der Schal war gestrickt	Olga-Brigitte Kühnel	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	1991	S-VHS		Spielfilm		DE-Po75
<<Der>> Regen kam später als gedacht	Xaver Koch			Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; lichtbild Arbeits gemeinschaft Griebnitzsee	1995	Betacam SP		Adaption ; Nationale Minderheiten		DE-Po75
<<Ein>> Regenbogen aus Asche	Xenia Abendroth	Regie		Potsdam			1998	16mm	6m	Dokumentarfilm		DE-Po75
...wo die Zeit zerfließt	Jörg Pätzold	Regie	Kameraübung	Potsdam		Filmgruppe "Berlin-Mitte"	1993	16mm	165m		nonverbal ; Stadtbilder ; moderne Kunst ; ohne Dialog ; no dialogue	DE-Po75
Der Tanz der Schatten – Dresden (1991)	Olga Jürgens	Kamera		Potsdam			1990	VHS		Dokumentarfilm ; Adaption		DE-Po75
Mein Cousin war längst im Westen	Alexander Hoffmann	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam" ; lichtbild Arbeits gemeinschaft Griebnitzsee	1987	VHS		Dokumentarfilm		DE-Po75
Ein fremdes Nest	Rosemarie Quade	Kamera		Potsdam		Atelier für Dokumentar-Film Babelsberg ; Kollektiv Bild & Ton Potsdam	1986	16mm	80m	Spielfilm ; Porträtfilm		DE-Po75
Ein leerer Rahmen				Potsdam		Kollektiv Bild &Ton "Potsdam"	1991	U-matic		Adaption ; Trailer	Schriftsteller	DE-Po75
Niemand wollte den Platz in der Ecke	Thoralf Wehner	Regie		Potsdam			1996	16mm	650m			DE-Po75
...wo die Erde schläft	Gisela Bauer	Kamera		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1988	U-matic				DE-Po75
Die Dialektik der leeren Klassenzimmer	Erika Quast			Potsdam			1991	VHS		Spielfilm ; Liebe		DE-Po75
Der Flur führte im Kreis	Uschi Bongartz	Buch					1989	35mm		Dokumentarfilm ; Kriminalität ; Wende ; Porträtfilm		DE-Po75
Chronik unvollständig	Hoang Thi Ngoc	Regie	TV-Übung	Potsdam			1989	16mm	65m	Animationsfilm		DE-Po75
Pause nach Paragraf 3	Wiltrud Fuhrmanns	Regie		Potsdam			1988	16mm		Dokumentarfilm ; Adaption		DE-Po75
Der Gang war leer		Regie	F2	Potsdam		Filmstudio Babelsberg Ost	1999			Spielfilm		DE-Po75
Neujahrsansprache verpasst	Olga-Brigitte Kühnel	Regie	Diplomfilm	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1990	VHS		"Hochschule für Film und Fernsehen der DDR ""Konrad Wolf"""		DE-Po75
Wo Erinnerung flackert	Yusuf Omar			Potsdam			1988	35mm		Spielfilm	Freizeit in der DDR	DE-Po75
<<Der>> Tee war noch warm	Nadine Müller	Regie	F3	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; lichtbild Arbeits gemeinschaft Griebnitzsee	1996	VHS		Dokumentarfilm		DE-Po75
<<Das>> Geheimnis der sieben Treppen	Wilfried Illner	Kamera		Potsdam		Filmgruppe "Berlin-Mitte" ; Atelier für Dokumentarfilm Babelsberg	1991	16mm	323m			DE-Po75
<<Die>> Linie zog sich zurück	Ruth Schmidt	Regie		Potsdam			1989	35mm	96m			DE-Po75
Niemand beachtete den Spiegel	Klaus-Lothar Kallenbach	Kamera		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1989	35mm	39m	Talkshow		DE-Po75
Schreibtisch im Regen	Traute Hoffmann	Regie	Hauptprüfungsfilm	Potsdam		Kollektiv Bild und Ton Potsdam	1992	S-VHS				DE-Po75
Schlüssel nicht verfügbar		Regie	TV-Übung	Potsdam			1988	16mm				DE-Po75
Wenn der Lehrer zu spät kam	Anna-Christine Mayer	Regie		Potsdam			1995	16mm	197m	Animationsfilm ; Wende		DE-Po75
<<Ein>> Schatten im Licht	Heidemarie Karge	Kamera	Filmübung	Potsdam			1986	35mm	55m	Dokumentarfilm		DE-Po75
Tritt	Tariq Abbas	Regie	F2	Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1995	Betacam SP		Dokumentarfilm		DE-Po75
<<Die>> letzte Straßenbahn nach Gestern	Le Thi Ngoc	Regie		Potsdam			1985	U-matic		Arbeit ; Animationsfilm		DE-Po75
Ein Blick in die Vergangenheit – 1985 (Magdeburg)	Heiko Niemann	Regie		Potsdam			1995	Betacam SP		Animationsfilm ; Zeichentrickfilm ; Montage		DE-Po75
Neben dem offenen Tor	Egon Härtel	Kamera	Lichtübung	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Atelier fuer Dokumentarfilm BABELSBERG	1989	16mm	26m	Dokumentarfilm		DE-Po75
<<Die>> Wendeltreppe		Kamera		Potsdam		Kollektiv Bild und Ton Potsdam	1988/89	16mm	262m			DE-Po75
Niemand lachte	Inge-Maria Jänicke	Kamera		Potsdam			1990	16mm		Videoclip ; Wende	Regionales . Mauerfall . Wahlkampf Leipzig	DE-Po75
<<Der>> letzte Saphir	Patrick-Stefan Krauß	Regie	Regieübung	Potsdam			1993	S-VHS				DE-Po75
Inventur verlegt	Ingeburg Lütke			Potsdam			1993	35mm	696m	Experimentalfilm		DE-Po75
Das Schweigen eines längst vergangenen Wortes	Le Thi Ngoc	Regie	Hauptprüfungsfilm	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1986	16mm	470m			DE-Po75
<<Der>> Lichtschalter klemmte	Bastian Böhmer	Regie		Potsdam		Atelier für Dokumentarfilm Babelsberg	1988	U-matic				DE-Po75
Ruf	Xaver Ebeling	Regie		Potsdam			1996	S-VHS				DE-Po75. Po75
Deine Stimme am Rand der Gruppe	Nguyen Minh Duc	Kamera		Potsdam			1998	Betacam SP		Spielfilm		DE-Po75
Papierkorb ausgetauscht				Potsdam		Film gruppe Berlin-Mitte	1990	16mm	428m		Arbeiter DDR . Musikclip	DE-Po75
Mein Name stand in keiner Liste	Heidemarie Karge	Regie		Potsdam			1989	16mm	84.5m	Animationsfilm ; Kinder ; Porträtfilm	Leipzig Demonstration . Kristallnacht . Regionales	DE-Po75
Ein Stück durch Staub	Fatima Ali	Kameraübung		Potsdam			1988	16mm	68m			DE-Po75
Trieb	Egon Härtel	Regie	Hauptprüfungsfilm	Potsdam			1989	35mm	41m			DE-Po75
Als ich das Licht ausknipste	Mia Wolf	Kamera	Diplomfilm	Potsdam			1996	16mm	179m	Dokumentarfilm		DE-Po75
Verbleib unklar	Volker Uhl	Regie		Potsdam			1997	16mm	315m	Dokumentarfilm ; Kinder- und Jugendfilm	Arbeiter ; ohne Worte ; ohne Sprache	DE-Po75
Niemand las das Aushangsblatt	Simone Weber	Regie		Potsdam			1985	16mm				DE-Po75
<<Die>> Stadt der schlafenden Riesen	Wolfgang Rautenberg	Regie	Animation	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Filmstudio Babelsberg Ost	1996	16mm	142m			DE-Po75
...im Auge des Orkans	Hung Pham			Potsdam			1992			Animationsfilm		DE-Po75
Ein Ruf vor dem Morgen	Margot Händel	Regie		Potsdam			1990	16mm				DE-Po75
Der Schleier der Erinnerung – Potsdam	Frieda Richter	Regie		Potsdam			1999	16mm	244m	Animationsfilm		DE-Po75
Zwischen Dämmerung und Licht	Tran Duc Anh	Kamera	TV-Übung				1991	16mm	85m	Spielfilm ; Porträtfilm ; Homosexualität		DE-Po75
Die Tragik der ungeschriebenen Liebesbriefe	Hoang Van Tuan	Regie	F3	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Kollektiv Bild & Ton Potsdam	1998	35mm	80m	Spielfilm		DE-Po75
Magnetband gelöscht	Dagmar Fricke	Regie		Potsdam			1986			Dokumentarfilm ; Trailer		DE-Po75
Die Bücher, die nie erschienen		Kamera		Potsdam		Filmgruppe "Berlin-Mitte" ; Kollektiv Bild & Ton Potsdam	[1990]			Spielfilm ; Arbeit ; Homosexualität	Videoclip	DE-Po75
Ich drehte den Hahn zu spät	Gisela Ihlenfeld	Regie	F1	Potsdam		Filmstudio Babelsberg Ost	1997	VHS		Dokumentarfilm ; Ausländer ; Soziale Probleme		DE-Po75
Luftballons verboten – wegen Symbolik	Volker Döhler	Regie		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1995	35mm	209m	Animationsfilm ; Zeichentrickfilm		DE-Po75
Die letzte Fahrt der MS Aurora		Regie		Potsdam			1996	16mm	30m	Dokumentarfilm	Horror ; ohne Dialog	DE-Po75
Auf dem Weg ins Morgenlicht – Berlin	Ina-Maria Kästner	Regie	Lichtübung	Potsdam			1991	16mm	330m	Spielfilm ; Wende ; Religion ; Frauen		DE-Po75
Mit geschlossenen Händen	Ludwig-Martin Lübke	Regie		Potsdam			1997	16mm		Dokumentarfilm		DE-Po75
Licht war aus		Regie		Potsdam			1990	16mm	113m	Dokumentarfilm		DE-Po75
Zwischen zwei Aufgaben	Wilfried Grabow			Potsdam		Atelier fuer Dokumentarfilm BABELSBERG	1990	16mm	70m			DE-Po75
Verpackung unvollständig		Moderation		Potsdam		Filmgruppe "Berlin-Mitte" ; Audiovisuelle Werkstatt Frankfurt/Oder	1994	16mm	965m	Spielfilm ; Jugendliche ; Komödie		DE-Po75
Das Knistern begann nach dem Blick	Sven Nolting	Regie		Potsdam			1989			Dokumentarfilm	Talkrunden ; DDR Rock	DE-Po75
Im tanzenden Spiel der Erinnerungen	Pham Linh	Regie		Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee ; Filmstudio Babelsberg Ost	1986	16mm	1261m	Animationsfilm ; Frauen		DE-Po75
<<Ein>> Schrei in der Leere	Siegbert Vollmer	Regie		Potsdam		Filmgruppe Berlin-Mitte ; Kollektiv Bild & Ton Potsdam	1995	35mm	56m	Spielfilm ; Porträtfilm ; Biografischer Film		DE-Po75
Niemand war mehr am Förderband	Layla El-Haddad	Buch		Potsdam		Filmstudio Babelsberg Ost	1995	Betacam				DE-Po75
<<Die>> Stadt der schlafenden Vögel	Inge-Maria Jänicke	Kamera		Potsdam		Atelier fuer Dokumentarfilm BABELSBERG ; Kollektiv Bild & Ton Potsdam	1992					DE-Po75
Mein Kollege sagte nichts	Petra-Renate Rupprecht	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam"	1995	S-16mm	88m			DE-Po75
...wo die Zeit stillsteht		Kameraübung	Diplomfilm				[1988]	16mm			Punk ; Braunkohle ; Altersheim ; ohne Dialog ; Alterspflegeheim	DE-Po75
Echo der Nacht	Ralf Gräfe	Regie		Potsdam		Filmgruppe Berlin-Mitte	1994	35mm	1745m	Dokumentarfilm		DE-Po75
Hang	Jochen Althoff	Regie	F3	Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee ; Filmstudio Babelsberg Ost	1996	Betacam SP		Animationsfilm		DE-Po75
Echozone	Kirsten Hüfner					Kollektiv Bild und Ton Potsdam	1990	VHS		Wende		DE-Po75
Der Luftdruck war zu hoch	Yusef Khalid	Regie		Potsdam			1997	35mm	102m	Dokumentarfilm		DE-Po75
<<Das>> Fenster war gestern noch offen	Friederike Gohlke	Regie		Potsdam			1998	16mm		Dokumentarfilm		DE-Po75
Arbeitsplatz aufgelöst	Olga-Brigitte Kühnel	Regie		Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1987	35mm	900m			DE-Po75
<<Ein>> Moment der Wahrheit		Regie		Potsdam			1993	16mm	30m			DE-Po75
