Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Verlag_1	Verlag_2	Jahr_1	Jahr_2	Jahr_Schätzung	Originalmedium	Länge	Schlagwort_1	Schlagwort_2	Schlagwort_3	Schlagwort_4	Schlagwort_5	Schlagwort_6	Stichwort_1	Stichwort_2	Stichwort_3	Stichwort_4	Stichwort_5	Stichwort_6	Stichwort_7	Stichwort_8	Stichwort_9	Stichwort_10	Stichwort_11
Tellerstand unklar	Yasmin Mai	Regie	F2	Potsdam			1995		false	35mm	41m	Kamera																
Eingang Ost	Tina Scholl	Regie	Montageübung	Potsdam			1996		false	35mm	403m																	
Schachspiel mit der Zeit	Wilfried Illner	Kameraübung		Potsdam			1988		false	16mm	134m	Videoclip	Arbeit															
Taktzeit verlängert	Volker Scheel		TV-Übung	Potsdam			1990		false	35mm	150m	Dokumentation																
Als wir alle das Gleiche trugen	Eva Nagy	Regie	Kameraübung	Potsdam			1986		false	16mm	25m							DDR Arbeitsalltag										
Frühschicht ohne Licht		Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1997		false	35mm	128m	Animationsfilm																
Silberne Stille	Heidemarie Kettner	Kamera	Diplomfilm	Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1985		false	16mm	120m	Dokumentarfilm																
Flüstern im Wind, Ein		Regie	Lichtübung	Potsdam			1991		false	U-matic								Grenze										
Wind trägt ein leises Geheimnis, Der	Olga Grosse	Moderation		Potsdam	Filmgruppe Berlin-Mitte		1994		false	Betacam SP																		
Maschine bleibt stehen		Moderation		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1994		false	Betacam SP																		
Vor dem Fall	Yusef Khalid	Kamera		Potsdam	Atelier für Dokumentarfilm Babelsberg	Produktionskollektiv Brandenburg/Havel	1996		false	16mm	24m	Dokumentarfilm						Altersheim										
stilles Versprechen im Wind, Ein	Almut Bauer	Regie		Potsdam	Kollektiv Bild & Ton Potsdam	Kollektiv Bild & Ton Potsdam	1992		false	S-VHS		Spielfilm	Adaption					Trommelmusik	Bühnenstück	Krebsvorsorge								
Hoffnung stand am Straßenrand, Die				Potsdam	Kollektiv Bild & Ton Potsdam	Kollektiv Bild & Ton Potsdam	1989		false	16mm	47m	Spielfilm																
Und ich blieb	Kirsten Hüfner		Lichtübung	Potsdam			1992		false	S-VHS																		
Tür schließt nicht vollständig	Stefan Popov	Animation		Potsdam			1993		false	S-VHS		Spielfilm	Familie															
Gedanken aus Stahl	Margarete Evers	Kamera		Potsdam			1991		false	Betacam SP																		
Wenn die Welt sich leise dreht	Albrecht Becker	Regie	F3	Potsdam			1997		false	Betacam SP		Dokumentarfilm																
Auge des Sturms, Das	Xenia Quade	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1985		false	16mm	90m	Dokumentarfilm	Porträtfilm					Eisenbahn	Handwerk									
Fahrradklingeln im Nirgendwo		Kamera		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1992		false	16mm	38m	Spielfilm																
Echo der Erinnerung – Erfurt, Das	Lý Thị Mai	Regie	Diplomfilm	Potsdam			1995		false	Betacam SP																		
Wenn das Schweigen Geschichten erzählt	Le Van Khoa			Potsdam	Atelier für Dokumentarfilm Babelsberg		1994		false																			
Mein Helm war nicht mein Helm	Lutz Böttcher	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1999		false	35mm	219m	Trailer																
Brot war noch warm, Das	Eckhard Ewert	Regie	F1	Potsdam			1999		false	Betacam SP		Dokumentarfilm																
Mein Bruder war nie dabei		Moderation		Potsdam	Filmgruppe Berlin-Mitte		1994	1996	false	35mm	1030m																	
Wo Bücher im Keller lagen		Kameraübung	Lichtübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1988		false	16mm																		
Blickwinkel	Anastasia Romanova	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Filmgruppe Berlin-Mitte	1989		false	16mm	772m	Dokumentarfilm	Porträtfilm															
Mein letzter Eintrag im Klassenbuch	Huang Wei	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1999		false	35mm	204m	Animationsfilm	Satire	Porträtfilm														
Fleck genehmigt	York Töpfer	Regie		Potsdam			1993	1995	false	35mm	150m	Spielfilm																
Klang der leeren Fabriken, Der	Hannah Mayer	Regie	Regieübung	Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1985		false	16mm	365m																	
Geruch alter Bücher, Der	Finn Hoffmann	Regie		Potsdam			1999		false	35mm	199m																	
Vom Puls der Großstadt berührt – Halle	Paul Finke	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1993		false	16mm	126m	Adaption	Adaption															
Hauch von Gestern, Ein		Regie	Diplomfilm	Potsdam	Kollektiv Bild & Ton Potsdam	Kollektiv Bild & Ton Potsdam	1998		false	35mm	610m	Dokumentarfilm	Adaption															
Silbernes Haar, rostige Schienen	Heidemarie Karge	Regie		Potsdam			1987		false			Dokumentarfilm																
Werkbank klemmte, Die		Kamera	Lichtübung		Produktionskollektiv Brandenburg/Havel		1991		false	U-matic																		
Gebrochene Flügel	Lý Thị Mai	Regie	Diplomfilm	Potsdam	Produktionskollektiv Brandenburg/Havel		1998		false	16mm	376m							ohne Worte	ohne Worte	Kriegsflüchtlinge	Flüchtlinge							
Wenn der Wind das Gestern umarmt	Pham Duc Thanh	Regie		Potsdam			1991		false	VHS		Dokumentarfilm	Wende															
Ferne Stimmen	Yvonne-Zoe Weitz	Regie		Potsdam	Filmgruppe Berlin-Mitte	Filmgruppe Berlin-Mitte	1995		false	35mm	480m	Dokumentation																
Tag, an dem alles kippte, Der		Regie		Potsdam			1994		false	16mm		Spielfilm	Wende															
Niemand schrieb den Abspann	Günther Hempel	Regie	Lichtübung	Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1999		false	Betacam SP		Spielfilm	Zeichentrickfilm															
Kein Kommentar zum 7. Oktober	Oskar Xander			Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1987		false	16mm	20m																	
Ich sprach, bevor es nötig war				Potsdam			1989		false	16mm																		
Bühne hatte Risse, Die		Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Kollektiv Bild & Ton Potsdam	1990		false	16mm	300m	Spielfilm																
Spaltung	Heidemarie Karge	Regie		Potsdam			1986		false	16mm	310m																	
Heizung ging ab 10 Uhr		Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1990		false	35mm	730m																	
Schal war gestrickt, Der	Olga-Brigitte Kühnel	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1991		false	S-VHS		Spielfilm																
Regen kam später als gedacht, Der	Xaver Koch			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1995		false	Betacam SP		Adaption	Nationale Minderheiten															
Regenbogen aus Asche, Ein	Xenia Abendroth	Regie		Potsdam			1998		false	16mm	6m	Dokumentarfilm																
...wo die Zeit zerfließt	Jörg Pätzold	Regie	Kameraübung	Potsdam	Filmgruppe Berlin-Mitte		1993		false	16mm	165m							nonverbal	Stadtbilder	moderne Kunst	ohne Dialog	no dialogue						
Tanz der Schatten – Dresden (1991), Der	Olga Jürgens	Kamera		Potsdam			1990		false	VHS		Dokumentarfilm	Adaption															
Mein Cousin war längst im Westen	Alexander Hoffmann	Regie		Potsdam	Kollektiv Bild & Ton Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1987		false	VHS		Dokumentarfilm																
fremdes Nest, Ein	Rosemarie Quade	Kamera		Potsdam	Atelier für Dokumentarfilm Babelsberg	Kollektiv Bild & Ton Potsdam	1986		false	16mm	80m	Spielfilm	Porträtfilm															
leerer Rahmen, Ein				Potsdam	Kollektiv Bild & Ton Potsdam		1991		false	U-matic		Adaption	Trailer					Schriftsteller										
Niemand wollte den Platz in der Ecke	Thoralf Wehner	Regie		Potsdam			1996		false	16mm	650m																	
...wo die Erde schläft	Gisela Bauer	Kamera		Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false	U-matic																		
Dialektik der leeren Klassenzimmer, Die	Erika Quast			Potsdam			1991		false	VHS		Spielfilm	Liebe															
Flur führte im Kreis, Der	Uschi Bongartz	Buch					1989		false	35mm		Dokumentarfilm	Kriminalität	Wende	Porträtfilm													
Chronik unvollständig	Hoang Thi Ngoc	Regie	TV-Übung	Potsdam			1989		false	16mm	65m	Animationsfilm																
Pause nach Paragraf 3	Wiltrud Fuhrmanns	Regie		Potsdam			1988		false	16mm		Dokumentarfilm	Adaption															
Gang war leer, Der		Regie	F2	Potsdam	Filmstudio Babelsberg Ost		1999		false			Spielfilm																
Neujahrsansprache verpasst	Olga-Brigitte Kühnel	Regie	Diplomfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1990		false	VHS		Hochschule für Film und Fernsehen der DDR "Konrad Wolf"																
Wo Erinnerung flackert	Yusuf Omar			Potsdam			1988		false	35mm		Spielfilm						Freizeit in der DDR										
Tee war noch warm, Der	Nadine Müller	Regie	F3	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1996		false	VHS		Dokumentarfilm																
Geheimnis der sieben Treppen, Das	Wilfried Illner	Kamera		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1991		false	16mm	323m																	
Linie zog sich zurück, Die	Ruth Schmidt	Regie		Potsdam			1989		false	35mm	96m																	
Niemand beachtete den Spiegel	Klaus-Lothar Kallenbach	Kamera		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1989		false	35mm	39m	Talkshow																
Schreibtisch im Regen	Traute Hoffmann	Regie	Hauptprüfungsfilm	Potsdam	Kollektiv Bild & Ton Potsdam		1992		false	S-VHS																		
Schlüssel nicht verfügbar		Regie	TV-Übung	Potsdam			1988		false	16mm																		
Wenn der Lehrer zu spät kam	Anna-Christine Mayer	Regie		Potsdam			1995		false	16mm	197m	Animationsfilm	Wende															
Schatten im Licht, Ein	Heidemarie Karge	Kamera	Filmübung	Potsdam			1986		false	35mm	55m	Dokumentarfilm																
Tritt	Tariq Abbas	Regie	F2	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1995		false	Betacam SP		Dokumentarfilm																
letzte Straßenbahn nach Gestern, Die	Le Thi Ngoc	Regie		Potsdam			1985		false	U-matic		Arbeit	Animationsfilm															
Blick in die Vergangenheit – 1985 (Magdeburg), Ein	Heiko Niemann	Regie		Potsdam			1995		false	Betacam SP		Animationsfilm	Zeichentrickfilm	Montage														
Neben dem offenen Tor	Egon Härtel	Kamera	Lichtübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1989		false	16mm	26m	Dokumentarfilm																
Wendeltreppe, Die		Kamera		Potsdam	Kollektiv Bild & Ton Potsdam		1988	1989	false	16mm	262m																	
Niemand lachte	Inge-Maria Jänicke	Kamera		Potsdam			1990		false	16mm		Videoclip	Wende					Regionales	Mauerfall	Wahlkampf Leipzig								
letzte Saphir, Der	Patrick-Stefan Krauß	Regie	Regieübung	Potsdam			1993		false	S-VHS																		
Inventur verlegt	Ingeburg Lütke			Potsdam			1993		false	35mm	696m	Experimentalfilm																
Schweigen eines längst vergangenen Wortes, Das	Le Thi Ngoc	Regie	Hauptprüfungsfilm	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1986		false	16mm	470m																	
Lichtschalter klemmte, Der	Bastian Böhmer	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1988		false	U-matic																		
Ruf	Xaver Ebeling	Regie		Potsdam			1996		false	S-VHS																		
Deine Stimme am Rand der Gruppe	Nguyen Minh Duc	Kamera		Potsdam			1998		false	Betacam SP		Spielfilm																
Papierkorb ausgetauscht				Potsdam	Filmgruppe Berlin-Mitte		1990		false	16mm	428m							Arbeiter DDR	Musikclip									
Mein Name stand in keiner Liste	Heidemarie Karge	Regie		Potsdam			1989		false	16mm	84.5m	Animationsfilm	Kinder	Porträtfilm				Leipzig Demonstration	Kristallnacht	Regionales								
Stück durch Staub, Ein	Fatima Ali	Kameraübung		Potsdam			1988		false	16mm	68m																	
Trieb	Egon Härtel	Regie	Hauptprüfungsfilm	Potsdam			1989		false	35mm	41m																	
Als ich das Licht ausknipste	Mia Wolf	Kamera	Diplomfilm	Potsdam			1996		false	16mm	179m	Dokumentarfilm																
Verbleib unklar	Volker Uhl	Regie		Potsdam			1997		false	16mm	315m	Dokumentarfilm	Kinder- und Jugendfilm					Arbeiter	ohne Worte	ohne Sprache								
Niemand las das Aushangsblatt	Simone Weber	Regie		Potsdam			1985		false	16mm																		
Stadt der schlafenden Riesen, Die	Wolfgang Rautenberg	Regie	Animation	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Filmstudio Babelsberg Ost	1996		false	16mm	142m																	
...im Auge des Orkans	Hung Pham			Potsdam			1992		false			Animationsfilm																
Ruf vor dem Morgen, Ein	Margot Händel	Regie		Potsdam			1990		false	16mm																		
Schleier der Erinnerung – Potsdam, Der	Frieda Richter	Regie		Potsdam			1999		false	16mm	244m	Animationsfilm																
Zwischen Dämmerung und Licht	Tran Duc Anh	Kamera	TV-Übung				1991		false	16mm	85m	Spielfilm	Porträtfilm	Homosexualität														
Tragik der ungeschriebenen Liebesbriefe, Die	Hoang Van Tuan	Regie	F3	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Kollektiv Bild & Ton Potsdam	1998		false	35mm	80m	Spielfilm																
Magnetband gelöscht	Dagmar Fricke	Regie		Potsdam			1986		false			Dokumentarfilm	Trailer															
Bücher, die nie erschienen, Die		Kamera		Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1990		false			Spielfilm	Arbeit	Homosexualität				Videoclip										
Ich drehte den Hahn zu spät	Gisela Ihlenfeld	Regie	F1	Potsdam	Filmstudio Babelsberg Ost		1997		false	VHS		Dokumentarfilm	Ausländer	Soziale Probleme														
Luftballons verboten – wegen Symbolik	Volker Döhler	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1995		false	35mm	209m	Animationsfilm	Zeichentrickfilm															
letzte Fahrt der MS Aurora, Die		Regie		Potsdam			1996		false	16mm	30m	Dokumentarfilm						Horror	ohne Dialog									
Auf dem Weg ins Morgenlicht – Berlin	Ina-Maria Kästner	Regie	Lichtübung	Potsdam			1991		false	16mm	330m	Spielfilm	Wende	Religion	Frauen													
Mit geschlossenen Händen	Ludwig-Martin Lübke	Regie		Potsdam			1997		false	16mm		Dokumentarfilm																
Licht war aus		Regie		Potsdam			1990		false	16mm	113m	Dokumentarfilm																
Zwischen zwei Aufgaben	Wilfried Grabow			Potsdam	Atelier für Dokumentarfilm Babelsberg		1990		false	16mm	70m																	
Verpackung unvollständig		Moderation		Potsdam	Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1994		false	16mm	965m	Spielfilm	Jugendliche	Komödie														
Knistern begann nach dem Blick, Das	Sven Nolting	Regie		Potsdam			1989		false			Dokumentarfilm						Talkrunden	DDR Rock									
Im tanzenden Spiel der Erinnerungen	Pham Linh	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Filmstudio Babelsberg Ost	1986		false	16mm	1261m	Animationsfilm	Frauen															
Schrei in der Leere, Ein	Siegbert Vollmer	Regie		Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1995		false	35mm	56m	Spielfilm	Porträtfilm	Biografischer Film														
Niemand war mehr am Förderband	Layla El-Haddad	Buch		Potsdam	Filmstudio Babelsberg Ost		1995		false	Betacam																		
Stadt der schlafenden Vögel, Die	Inge-Maria Jänicke	Kamera		Potsdam	Atelier für Dokumentarfilm Babelsberg	Kollektiv Bild & Ton Potsdam	1992		false																			
Mein Kollege sagte nichts	Petra-Renate Rupprecht	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1995		false	S-16mm	88m																	
...wo die Zeit stillsteht		Kameraübung	Diplomfilm				1988		false	16mm								Punk	Braunkohle	Altersheim	ohne Dialog	Alterspflegeheim						
Echo der Nacht	Ralf Gräfe	Regie		Potsdam	Filmgruppe Berlin-Mitte		1994		false	35mm	1745m	Dokumentarfilm																
Hang	Jochen Althoff	Regie	F3	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Filmstudio Babelsberg Ost	1996		false	Betacam SP		Animationsfilm																
Echozone	Kirsten Hüfner				Kollektiv Bild & Ton Potsdam		1990		false	VHS		Wende																
Luftdruck war zu hoch, Der	Yusef Khalid	Regie		Potsdam			1997		false	35mm	102m	Dokumentarfilm																
Fenster war gestern noch offen, Das	Friederike Gohlke	Regie		Potsdam			1998		false	16mm		Dokumentarfilm																
Arbeitsplatz aufgelöst	Olga-Brigitte Kühnel	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1987		false	35mm	900m																	
Moment der Wahrheit, Ein		Regie		Potsdam			1993		false	16mm	30m																	
Ich trank den Tee, obwohl er kalt war	Zoe Benthin	Regie	F2	Potsdam	Produktionskollektiv Brandenburg/Havel	Kollektiv Bild & Ton Potsdam	1997		false	16mm	97m																	
Luftfeuchtigkeit unauffällig erhöht	Friederike Gohlke	Idee		Potsdam			1995		false	Betacam		Dokumentarfilm																
Erinnerungen in Grau – Halle	Lars Nürnberg	Kamera	F3	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1995		false	35mm	344m	Film- und Fernsehregie	Soziale Probleme															
So weit war's nie gedacht		Regie		Potsdam	Kollektiv Bild & Ton Potsdam	Kollektiv Bild & Ton Potsdam	1990		false	16mm	65m																	
Geometrie der verlassenen Spielplätze, Die	Marlies Nitzsche	Regie	Lichtübung	Potsdam			1992		false	35mm	85m																	
Geräusch	Götz Jürgens	Regie		Potsdam	Kollektiv Bild & Ton Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	1992		false			Dokumentation						Studioinszenierung	Musikfilm	nonverbal								
Lied der Vergessenheit, Das	Wiltrud Fuhrmanns	Kameraübung			Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1988		false	16mm	130m	Spielfilm																
Montag, keine Meldung	Erhard Moser	Regie		Potsdam			1998	1999	false	35mm	73m							Bosnien										
Schnee in Kairo	Pham Duc Thanh	Regie		Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1991		false	U-matic																		
Auge der Ewigkeit, Das	Yusef Khalid		F1	Potsdam	Atelier für Dokumentarfilm Babelsberg		1999		false	16mm	22m																	
Niemand achtete auf den Vorhang	Tran Van Hoai	Regie	Diplomfilm	Potsdam			1996		false	16mm																		
Schatten aus Licht, Ein	Ida Wagner	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg		1992		false	S-VHS		Animationsfilm						Dresden										
Ich hörte ein Räuspern aus dem Radio	Detlef Donath	Regie		Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1992		false			Film- und Fernsehregie																
Farbe an der Wand blätterte, Die	Fritz Gärtner	Regie	Montageübung	Potsdam	Kollektiv Bild & Ton Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	1998		false	35mm	548m																	
Rätsel der schwarzen Rose, Das	Marta Novak	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1996		false	VHS		Werbefilm	Werbefilm															
Pfad der Erinnerung, Der	Oskar Rothe						1989		false	35mm		Dokumentarfilm																
Wo der Wind die Schatten küsst	Ella Hoffmann	Regie		Potsdam			1993		false	35mm	70m																	
Ufer	Verena Wenzel	Regie		Potsdam			1987		false	16mm	458m							Regionales	Zypern	Brotherstellung								
Ausdruck	Le Thi Ngoc Anh	Kameraübung		Potsdam			1988		false	16mm	30m							NVA	Nationale Volksarmee									
Luftzug kam aus der Richtung der Idee, Der			Kameraübung	Potsdam			1990		false	16mm																		
Tür auf, niemand drin		Regie		Potsdam	Filmstudio Babelsberg Ost		1997		false	35mm	123m	Animationsfilm																
Poesiealbum, Seite 23	Yvonne-Zoe Weitz	Regie		Potsdam			1994		false	Video																		
Umlaufdokument fehlt	Denise-Regina Steffen			Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1986		false	35mm	160m	Dokumentarfilm																
Beteiligung unter 30%	Chen Wei	Kamera		Potsdam			1988		false	16mm								Gesangsausbildung										
Versprechen, Ein	Tariq Rashid	Regie		Potsdam			1995	1996	false	35mm	79m	Liebe																
Telefon nicht verbinden	Marlies Dittberner	Regie	F1	Potsdam			1991		false	Video		Werbung																
Abendstille in Suhl	Cornelia Dittberner			Berlin	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1991		false	VHS		Dokumentarfilm																
Ich fand einen Stift in der Tasche	Quentin Rabe			Potsdam			1990		false	16mm	838m	Dokumentarfilm	Wende															
Unter dem Himmel von Jena	Karl-Heinz Möbus	Regie	Kameraübung	Potsdam			1987		false			Spielfilm	Ehe	Porträtfilm														
Schritt ins Leere, Ein	Wilfried Grabow	Regie		Potsdam			1990		false			"Hochschule für Film und Fernsehen der DDR "Konrad Wolf""	Wende															
Bedingung nicht erfüllt				Potsdam			1988		false	16mm	48m																	
Mein Ort in der Geschichte	Nadja Ortmann	Regie		Potsdam			1999		false	Betacam SP		Dokumentarfilm																
Funke	Friederike Gohlke	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1995		false	Betacam SP																		
Abfahrt ohne Rückkehr – Magdeburg, Die	Tran Thi Bich	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1992	1993	false	16mm	167m	Werbung																
Rostock in Trümmern und Träumen	Amir Karim	Regie					1991	1992	false	VHS																		
Schwung	Noura Ibrahim	Kameraübung		Potsdam			1988		false	35mm		Dokumentarfilm																
Wäscheleine voller Zweifel	Stefan Popov		Diplomfilm	Potsdam			1995		false	U-matic		Spielfilm																
Tafelbild unvollständig	Luise Kühne	Regie					1989		false	VHS		Spielfilm																
Planung unter Vorbehalt	Kirsten Hüfner	Regie		Potsdam			1990		false	16mm	1222m	Dokumentarfilm																
Als alles uns gehörte	Ludwig-Martin Lübke	Regie		Potsdam			1999		false	S-VHS		Animationsfilm																
Niemand erinnerte sich an den Klang	Edeltraud Bieber	Regie					1999		false	16mm	59m	Spielfilm																
Ermahnung ausgesetzt	Rita Vollrath	Regie	Kameraübung	Potsdam			1994		false	Betacam SP		Spielfilm																
Takt	Ewa Kowalska	Regie		Potsdam	Filmgruppe Berlin-Mitte		1989	1990	false	VHS																		
Im Nebel verloren	Ella Hoffmann			Potsdam	Kollektiv Bild & Ton Potsdam		1992		false			Spielfilm	Spielfilm	Frauen														
Funkstille im Äther	Margot Händel	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1990		false	16mm		Spielfilm	Wende															
Träne des Feuers, Die	Ida Wagner			Potsdam	Filmgruppe Berlin-Mitte		1998		false	35mm	19m	Dokumentarfilm	Frauen															
Blick durch dich hindurch, Der	Le Van Khoa	Kameraübung	Diplomfilm	Potsdam			1995		false	Betacam		Dokumentarfilm	Spielfilm															
Farbe deiner Gedanken, Die	Gisela Bauer	Kameraübung		Potsdam			1988		false	35mm	593m																	
Glastür war matt, Die	Jana Kühne	Kamera	Lichtübung	Potsdam			1997		false	35mm	505m	Trailer																
Wo sich Hoffnung im Regen spiegelt	Wolfgang Rautenberg	Regie	Lichtübung	Potsdam	Atelier für Dokumentarfilm Babelsberg		1993		false	16mm	164m																	
Neue Regelung, gültig ab sofort	Zdenek Falkenberg	Kamera	F1	Potsdam			1992		false	16mm	184m	Spielfilm																
Ich verwechselte den Gang	Gisela Ihlenfeld	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg	Kollektiv Bild & Ton Potsdam	1996		false	Betacam SP																		
Kontrast	Katarzyna Nowicka	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1991		false	35mm	80m																	
Zwischenruf am Feldrand	Oskar Rothe	Kamera		Potsdam			1989		false	16mm	220m	Spielfilm	Wende															
Akten wurden sortiert, vermutlich	Rosemarie Rabe	Regie		Potsdam			1996	1997	false	35mm																		
Traumflug		Regie	Kameraübung	Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1986		false	16mm	158m	Dokumentarfilm																
Im Zirkel	Bao Nguyen			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1990		false	U-matic																		
Stadt der flüsternden Schornsteine	Reiner Schultze	Regie	Diplomfilm	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1987		false	16mm	45m	Spielfilm	Arbeit															
Wenn Nähe sich entfernt	Oksana Melnyk	Regie	Diplomfilm	Potsdam			1994		false	Video		Dokumentarfilm																
Als das Glück verschwand	Ludwig-Martin Lübke	Regie		Potsdam			1998	1999	false	16mm	76m																	
Nächte in Dresden	Katrin Karge	Regie		Potsdam			1987		false	16mm	81m							Arbeiter										
Randstrich in Rot	Alexei Kuznetsov	Regie		Potsdam			1993		false	Betacam		Adaption						making of	Kindesmord									
Blick war nicht erlaubt, Der	Stefan Tietjen			Potsdam			1998		false	35mm																		
Wo Fahnen verblassten	Inge Jäkel	Regie	Lichtübung	Potsdam			1991		false	VHS								Bühnenstück	Behinderte									
...im Herzen des Vulkan	Christfried Neuhaus		Diplomfilm	Potsdam	Kollektiv Bild & Ton Potsdam		1998		false	16mm	764m																	
Ich trat zurück ohne es zu merken	Jochen Schade	Regie		Potsdam	Produktionskollektiv Brandenburg/Havel		1995		false	16mm	151m	Kamera																
Kreuzung der Träume	Wilfried Illner	Regie	Lichtübung	Potsdam			1994		false			Dokumentarfilm																
Algebra der verlorenen Schlüssel, Die	Kai Oehme	Regie		Potsdam			1997		false	16mm	25m	Dokumentarfilm																
Kaffeeflecken auf dem Atlas	Heidemarie Karge	Regie	Kameraübung	Potsdam			1988		false	U-matic		Dokumentarfilm	Nationalsozialismus															
Vielleicht ein Anfang				Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Audiovisuelle Werkstatt Frankfurt/Oder	1990		false	16mm	850m	Spielfilm	Ehe															
Leben dazwischen, Das	Uta Vollrath	Regie		Potsdam			1994		false	16mm	322m	Spielfilm																
Kante	Gerhild Junker	Regie	F2	Potsdam			1995	1996	false	35mm	560m																	
Rauch über der Spree, Der	Uta Vollrath			Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1994		false	35mm	1109m	Spielfilm																
Es war nicht mein Mantel	Lars Nürnberg	Regie		Potsdam			1996		false	35mm	292m	Dokumentarfilm																
letzte Flug, Der	Friedegard Nussbaum	Regie		Potsdam			1996		false	Betacam SP																		
Mein Zeugnis kam per Hand	Karin-Sabine Opitz	Regie		Potsdam			1998		false	Betacam SP																		
Wappen fiel von der Wand, Das	Ulrike Döhler	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1985		false	16mm	36m	Spielfilm	Porträtfilm					Schulalltag in der DDR	Arbeit	Förderband	Förderbrücke							
